id,name,type,program_id
358974,Эффективные переговоры для юристов,очно-заочная,13876
384534,Язык закона,очная,11910
384969,Ятрогенные преступления: особенности уголовного преследования,очно-заочная,14037
334004,22.М05-ю,очная,12962
334187,21.М05-ю,очная,12058
334216,22.М21-ю,очная,14170
334416,21.М21-ю,очная,12871
334113,22.М14-ю,очная,11110
334098,21.М14-ю,очная,10374
334058,22.М03-ю,очная,14132
334065,21.М03-ю,очная,12090
334144,22.М06-ю,очная,14088
334247,22.М18-ю,очная,14135
334338,21.М18-ю,очная,12989
334428,22.М09-ю,очная,14039
334193,21.М09-ю,очная,12965
334459,22.М08-ю,очная,11177
334136,21.М08-ю,очная,12966
334389,22.М10-ю,очная,11037
334223,21.М10-ю,очная,13876
334067,22.М11-ю,очная,12089
334311,21.М11-ю,очная,14037
334271,22.М20-ю,очная,12962
334069,21.М20-ю,очная,12058
334139,22.М07-ю,очная,14170
334028,21.М07-ю,очная,12871
334055,22.М13-ю,очная,11110
338788,21.М13-ю,очная,10374
334368,22.М01-ю,очная,14134
334021,21.М01-ю,очная,14132
334060,22.М04-ю,очная,14133
334397,21.М04-ю,очная,14088
334451,22.М02-ю,очная,9975
334467,21.М02-ю,очная,14135
335756,22.М19-ю,очная,12092
335749,21.М19-ю,очная,14039
334097,22.М27-ю,очная,12059
334141,21.М27-ю,очная,11177
334292,21.А01-ю,очная,12060
334064,20.А01-ю,очная,11037
389181,ПП Остеопатия_1054_17.02.2023-10.06.2023,очная,14295
389180,ПП Остеопатия_1054_17.02.2023-10.06.2026,очная,14295
389182,ПП Остеопатия_1054_19.02.2021-08.06.2024,очная,13418
367528,9К1,очная,14245
367527,9К2,очная,14245
367551,9М1,очная,14246
367550,9М2,очная,14246
366285,11Б1,очная,14249
366286,11Б2,очная,14249
365721,11Г1,очная,14250
365722,11Г2,очная,14250
365827,11К1,очная,13398
365826,11К2,очная,13398
367195,11М1,очная,13418
367196,11М2,очная,13418
365635,11И1,очная,13419
365636,11И2,очная,13419
366026,11Д1,очная,14316
366025,11Д2,очная,14316
365767,22.Б01-Б,очная,13402
365771,22.Б02-Б,очная,13402
365764,22.Б03-Б,очная,13402
365768,22.Б04-Б,очная,13402
365765,22.Б05-Б,очная,13402
365762,22.Б06-Б,очная,13402
365772,22.Б07-Б,очная,13402
365769,22.Б08-Б,очная,13402
365773,22.Б09-Б,очная,13402
365770,22.Б10-Б,очная,13402
365766,22.Б11-Б,очная,13402
365763,22.Б12-Б,очная,13402
366888,21.Б01-Б,очная,14312
366890,21.Б02-Б,очная,14312
366892,21.Б03-Б,очная,14312
366887,21.Б04-Б,очная,14312
366893,21.Б05-Б,очная,14312
366891,21.Б06-Б,очная,14312
366889,21.Б07-Б,очная,14312
366894,21.Б08-Б,очная,14312
